Index,IPA
1928,e͡ɪ̯t̪ɐ ɔt̪o ʃɪʃtem nɐ ɟɐnɐɾle t̪u͡ɪ̯ keɾ bɐleɾ edɐ e͡ɪ̯le?
1929,<> ɾɪŋtɪjeɾ ɔbɐʃeɾ lɐ͡ɪ̯ggɐ nɐ।
1930,e͡ɪ̯ ɟe e͡ɪ̯ɟe d̪ekh
1931,<> kɪbɐ<> ɪ lɔjɐ gechegɐ।
1932,"<> tɪhɐɾ kɔt̪hɐ ɟɪgɐe̯, e͡ɪ̯ʃɔmɔe̯ ɐmɐɾ ʃɔ͡ɪ̯ldɐ khɐ͡o̯ɟɐe̯ ɟɐncho t̪u͡ɪ̯?"
1933,kɔ͡ɪ̯t̪e ɐchu͡ɪ̯n e͡ɪ̯dɐ?
1934,"e͡ɪ̯dɐ ɛktɐ ɛp, ɾoʃɪtɪk lɐbɦ।"
1935,<> ɐɾe ed d̪ekhle kɪ ɔ͡ɪ̯bo?
1936,<> ɐnneɾe nɐ͡ɪ̯n bɦɐ͡ɪ̯ ɐɾek kɔt̪hɐ ɟɪgɐ͡ɪ̯lɐm ɔ͡ɪ̯le।
1937,e͡ɪ̯ ɐmɐɾe ɪjɐ ko͡ɪ̯che।
1938,t̪u͡ɪ̯ phulɐ͡ɪ̯jɐɾe kɪ kɔe̯?
1939,"e͡ɪ̯ bɔd̪d̪, bɔd̪d̪।"
1940,kɪ phulɐ͡ɪ̯nɾe ko͡ɪ̯t̪ɐm?
1941,ɐ͡ɪ̯ccɐ ɔhon mɪʃ d̪ɪle phuno ɐmɐɾ kɪ ɔ͡ɪ̯bo?
1942,e͡ɪ̯t̪ɐ hunle ɐmɐɾ kɪ kuno ɐje ɟɐe̯?
1943,"bɔd̪d̪, ɐɾe bɔd̪d̪d̪ɦo hɔɾ।"
1944,ɪt̪ɐ chɐ͡ɪ̯ d̪ɦɐn hɪnt̪e hɪnt̪e ɐɾ bɐllɐge nɐ।
1945,kɔ k kɪ phulɐ͡ɪ̯ɾe kɪ ko͡ɪ̯ ɐmɪ?
1946,kɪ k?
1947,kɪ ko͡ɪ̯?
1948,t̪e t̪u͡ɪ̯ ɟɐnocho ɐmɪ kɪ ko͡ɪ̯ ɟɐnocho।
1949,ɟɐnɪ kɪnt̪u ko͡ɪ̯t̪ɐm nɐ।
1950,"ɐ͡ɪ̯cchɐ, ɐmɪ phɔɾe kɔ͡ɪ̯jɐm ne।"
1951,ɐmɾɐ bɐlɐ ɟɐnɪ।
1952,"t̪u͡ɪ̯ mɐbu͡ɪ̯d̪d̪ɐɾo kɪ, e͡ɪ̯ mɐbu͡ɪ̯d̪d̪ɐ ko͡ɪ̯che ɐmɐɾe।"
1953,mɐhbu͡ɪ̯ɟɐɾ lɔge t̪o ɐmɪ ɾɐ͡ɪ̯ hoɾɪ nɐ।
1954,ɐmɐɾe ɐɾo ɐd̪p ko͡ɪ̯che।
1955,e͡ɪ̯dɐ ko͡ɪ̯che ɟɐnocho kɔbe?
1956,ɟeʃɔmɔe̯ ɪj d̪ɪchɪlo nɐ ɪd̪ɔmlɐ।
1957,e͡ɪ̯ ɾeɟɐl d̪ɛʃeɾ bɔbʃe?
1958,nɐ ɟe bɪʃt̪e͡ɪ̯ ok।
1959,phulɐ͡ɪ̯jɐne ɟɐne ɪt̪ɐ?
1960,t̪u͡ɪ̯ k ɾo͡ɪ̯lɐdɐɾ bɪʃe nɪ?
1961,"nɐ, kɪjeɾ bɪʃe?"
1962,t̪u͡ɪ̯ bule ko͡ɪ̯cho?
1963,he͡ɪ̯dɐɾ bɪʃe?
1964,ɟe͡ɪ̯ bɪʃt̪e͡ɪ̯ hok।
1965,he͡ɪ̯dɐɾ bɔbʃe nɪ?
1966,ɟe͡ɪ̯ bɪʃt̪e͡ɪ̯ hokgɐ।
1967,bɔd̪ ɐche।
1968,heɾɐ ɟɐne nɐ t̪o।
1969,t̪u͡ɪ̯ ho͡ɪ̯t̪ɐ koɾle t̪o buɟbo͡ɪ̯।
1970,t̪u͡ɪ̯ buɟɦɐ͡ɪ̯jɐ k।
1971,ɐcchɐ k।
1972,ɐʃmɐn cɐ̃d̪ uthle t̪o ʃɔbɐ͡ɪ̯ d̪ehe kɪnt̪u t̪umɪ ɟod̪ɪ gɦɔɾ t̪hɐhɔe̯ gɦɔɾ t̪hɐkle d̪ekht̪ɐɾt̪e nɐ।
1973,t̪oɾɐ ɟod̪ɪ mɔd̪d̪ɪ mɔd̪d̪ɐ khɐlɪ mɔd̪d̪ɐ ɐ͡ɪ̯t̪e ho͡ɪ̯bo।
1974,ɔhon ɔhon ɐmɪ kɪ ko͡ɪ̯।
1975,<> ɪ͡ɪ̯tɪ͡u̯b coʃel khulche pɾɪ͡ɪ̯dɪ͡o̯ khulche d̪u͡ɪ̯ dɐ।
1976,ɔhon ɐmɪ kɪ ko͡ɪ̯।
1977,phɔɾe kɔ cheɽɐ dɐ t̪o bɦɐlɐ ɐchɪn।
1978,"ɔhone nɐ kɪʃɪkɐɟ koɾe ke, muʃɐkɪm bɦɐ͡ɪ̯ ɐpheɾɐ ɟɐne?"
1979,homun ɐɾe hum।
1980,muʃɐkɪm bɦɐ͡ɪ̯ ɐpheɾɐ ɟɐne?
1981,"nɐ, hɐjɐɾ kɔ͡ɪ̯jɐm bɔɽd̪ ho͡ɪ̯jɐm ɐmɪ kɪ buɟɦɪ nɐ।"
1982,bɦɐ͡ɪ̯ ɛmone t̪o͡ɪ̯n ʃɔbɐɾt̪e ko͡ɪ̯chɪ nɐ।
1983,kɔbe kɔbe bɪʃɪkɐɟ koɾbe bɐ͡ɪ̯t̪o t̪hɪkɐ ɔhon eɾ lɐ͡ɪ̯gɐ gɔɾud̪ɔjɐle bɦɔɾt̪o ho͡ɪ̯bo kɪʃoɾgɐɾgɐ।
1984,ɪt̪ɐ ke͡u̯ɾ d̪ɐɾ ɟɐ͡o̯wɐɾ d̪ɐ͡o̯wɐɾ d̪ɔɾkɐɾ nɐ͡ɪ̯।
1985,bɦɪt̪t̪ɪ kɔbe?
1986,bɦɔɾt̪ɪ kɔbe mone?
1987,ɐɟ nɐ t̪ɐɾɪk nɐ?
1988,t̪ɐ͡ɪ̯le ʃɔmɔe̯।
1989,ɔnek mɪt̪t̪ɐ kɔt̪ɐ bole͡o̯ ko͡ɪ̯che।
1990,nɐ bɐd̪ɪnɪ lɐgbo।
1991,ke͡u̯ ɟod̪ɪ ɐmɐɾe ɟɪgɐe̯ phɔɾe d̪ɪjɐ ɐmɐɾ ko͡o̯n lɐgbo।
1992,ɔhon kɪ ɔnek cɐ͡ɪ̯ch phɐ͡ɪ̯lɐkle?
1993,cɐc phɐ͡ɪ̯che nɐ kɪt̪ɐ ko͡ɪ̯t̪ɐɾɐ।
1994,ɐmɪ t̪o d̪uhɐne ɟɐ͡ɪ̯nɐ ɔhon।
1995,kɔbe cɐ͡ɪ̯cho phɐ͡ɪ̯bo?
1996,kɔbeɾt̪e ɪjɐ mɐne ɪjɐ ɔ͡ɪ̯bo?
1997,nɐ t̪ɐɾɪk ʃɔmɔe̯ e͡ɪ̯che
1998,goɾud̪ɔjɐlo।
1999,ɔhon mone ʃɔbɦɔbt̪o ɾɔɾl d̪ɪche mone <> cɐ͡ɪ̯ch phɐ͡ɪ̯che।
2000,ko chɐbomɪt d̪ɪjɐ।
2001,t̪ɔ͡ɪ̯hɐ d̪ɛ͡ɪ̯hɐ kemone goɾud̪ɐ͡o̯ phɐ͡ɪ̯che।
2002,ɔhon d̪e kɪt̪ɐ?
2003,e͡ɪ̯t̪ɐ bɐd̪ d̪e।
2004,"ɐɾ t̪ɔɾ bo͡ɪ̯, cho͡ɪ̯ kɪ hɔɾchocho?"
2005,kɪjeɾ bo͡ɪ̯?
2006,ɐmɐɾ bo͡ɪ̯ ɐche?
2007,kɪ kɪ bo͡ɪ̯ ɐnchɪn?
2008,"e͡ɪ̯t̪ɐ, e͡ɪ̯t̪ɐ kɔt̪ɐ ɟɪgɐ͡ɪ̯ch nɐ ɐmɐɾe।"
2009,pɾuphɔɾ be͡ɪ̯ ɐchɪn?
2010,nɐ ɪjɐ he͡ɪ̯dɪ e͡ɪ̯che colp chɐɽɐ?
2011,e͡ɪ̯t̪ɐ kɔt̪ɐ bɐd̪ d̪e।
2012,ɐɾeh ɐchud̪ɐ e͡ɪ̯che।
2013,bɐlɐ kɔt̪ɐ ɟɪgɐ͡ɪ̯t̪ɐchɪ nɐ?
2014,t̪ɔɾ e͡ɪ̯dɪ phɔɾon lɐgt̪o kɛɾe?
2015,"t̪u͡ɪ̯ ɛmone lɐhɐ, phɔɾɐ koɾt̪ɐchɔcho nɐ?"
2016,phɔɾɐɾ lɐ͡ɪ̯gɐ।
2017,"ho, ɐmɐɾ phɔɾɐɾ lɐ͡ɪ̯gɐ।"
2018,"kɪpɐmɪ koɾɪcho nɐ, bɐd̪d̪e।"
2019,ko͡ɪ̯chɪ।t̪unt̪ɐ kɪnnɐ phɔɾle phɔɾɪcho nɐ phɔɾle e͡ɪ̯t̪ɐ bɐd̪d̪e।
2020,e͡ɪ̯t̪ɐ ɐnt̪ɐɟɪ phɔ͡ɪ̯ɾɐ kɔm phɔɾɔm nɐ।
2021,ɟeɾe phɔɾɪkkhɐt̪ ʃɔmoʃʃɐ ɔ͡ɪ̯bo।
2022,kɔjbochoɾ ɐgeɾ?
2023,"ɟɔjbochoɾ ho͡u̯kgɐ, ɐmɪ ko͡ɪ̯lɐm t̪o t̪u͡ɪ̯ nɪnnɪ kɪnnɐ phɔɾ।"
2024,tehɐ khɔɾcɐ e͡ɪ̯le ho͡u̯kgɐ।
2025,mɐl lɐgbo।
2026,e͡ɪ̯ d̪u͡ɪ̯ bochonɪt̪o।
2027,d̪u͡ɪ̯ bochoɾ lɐgbo?
2028,ɪjɐ <> huneɾ kɪnnɐlchɔʃ e͡ɪ̯dɐɾ khɔɾɔb nɐ͡ɪ̯gɐ?
2029,huɾeɾ bɐhɐɾɐ t̪eleɾ dɔɾe।
2030,t̪el phɐld̪ɪjɐ phɔɾbo।
2031,"ɟɔɾ ho͡ɪ̯ɾɐ tehɐɾ t̪eleɾ lɐ͡ɪ̯ggɐ, <> ʃɐ͡o̯͡ɪ̯nɪɾ tehɐ d̪ɪt̪e nɐ?"
2032,"ʃɐ͡o̯͡ɪ̯nnɐ, ʃɐd̪d̪ɐ͡ɪ̯mmɐɾ t̪eleɾ tehɐ d̪ɪt̪enɐ?"
2033,e͡ɪ̯dɐt̪o d̪e͡o̯n lɐgbo͡ɪ̯।
2034,e͡ɪ̯dɐkɪ ɛk d̪eɽ lɪtɐɾeɾ t̪el d̪ɪjɐ ɟɐ͡ɪ̯t̪ɐɾbɐmgɐ he͡ɪ̯no?
2035,ɐmɪ elhɐ t̪el d̪ɪjɐ lɔjɐ ɟɐ͡ɪ̯t̪ɐɾbɐm he͡ɪ̯dɐ t̪u͡ɪ̯ buɟɦʃ nɐ?
2036,t̪e he͡ɪ̯dɐ͡ɪ̯t̪o ɐmɪ ko͡ɪ̯t̪ɐchɪ।
2037,e͡ɪ̯dɐt̪o t̪ɪnɟe mɪllɐ t̪el d̪ɪchɪ।
2038,ɐmɪ d̪ɪchɪ monoe̯ ɛkʃo ɐɾ phɪɾɪ bɦɐɽɐ tɐɾɐ d̪ɪchɪ।
2039,bɐld̪ɪlɐ geʃʃ।
2040,ɔʃɔt̪oɾgɐ gechɪ ɔʃɔʃɔɾgɐ।
2041,"bɐld̪ɪlɐ, bɐld̪ɪlɐ geʃʃ।"
2042,"ɐɾe bɐld̪ɪlɐ, phɔɾe e͡ɪ̯che bɐld̪ɪlɐt̪t̪e phɐɾ ɔ͡ɪ̯jɐ phɔɾe e͡ɪ̯che mɪthɐmɪn।"
2043,mɪthɐmɪneɾt̪e ɐɾo phɔɾo kɪlo e͡ɪ̯che he͡ɪ̯mone ɔʃɔʃbɔɾ।
2044,bɔd̪d̪।
2045,gechcho he͡ɪ̯mme kuhɪd̪ɪn?
2046,ɐmɪ mɪtɐmɪn <> ɾɐʃtɔɾoɾ ɟɪɾu pɾɪtɐ ɐche nɐ?
2047,ɟɪɾu pɾɪtɐ chɪnchoʃ?
2048,"ɟɪɾu pɾɪtɐ ko͡ɪ̯t̪ɐɾt̪ɐm nɐ, ɾɐʃtɔɾbɐ͡ɪ̯t̪e gu͡ɪ̯ɾɐ͡ɪ̯chɪ।"
2049,ɾɐʃt̪ɔɾ bɐɽɪɾ hɛlɪpɔɾeɾ mɐttɐ d̪ekchɔʃ?
2050,heɾɪkphɪtɐɾeɾ?
2051,heɾɪkd̪ɦɐɾ mɐttɐ ɟe।
2052,mɐt ko͡ɪ̯t̪ɐ phɐ͡ɪ̯mɐɾɪ ɪskuldɐ d̪ekchɪ ɐmɪ ɛt̪ɐ ko͡ɪ̯t̪ɐɾt̪ɐm nɐ।
2053,ɔhon t̪o ɛt̪ɐ nɪnu d̪ɪjɐ koɾche।
2054,"helɪpɔdɦe mɐd ɐche, mɐdɾ ɛmme d̪ɪjɐ ɾɐst̪ɐ ɐche।"
2055,ɪjɐ e͡ɪ̯ ɟe kɪnɐ t̪uhɪ͡ɪ̯nnɐ kɪ chɐɽe kɐlɪ che͡ɪ̯ɾɐ͡ɪ̯neɾ chobɪ chɐɽe।
2056,keŋgone ko͡ɪ̯ <।
2057,t̪ɔɾ lɔge d̪u phɐhu͡ɪ̯nd̪ɐɾ elɔmme ɟɐ d̪ekchɪ ɾedɐɾ।
2058,be bedɐʃɐd̪ɪ ko͡ɪ̯ɾlɔbo?
2059,ko͡ɪ̯t̪ɐɾbɐm?
2060,t̪e kɪ ɟɐncho?
2061,koɾle t̪o ko͡ɪ̯ɾɐ phɐlɐɾe।
2062,ɐmɪ͡o̯ ɟɐnɪnɐ t̪o।
2063,ɐmɪ kɐlɪ ɪjɐ cɛɾt̪ɪ d̪ehɪ।
2064,phɔɾe lɐm d̪em nɐ hɐhɐ d̪em buɟɪ nɐ kɪchu।
2065,hɐhɐ d̪ɪbe।
2066,"nɐ, phoɾe d̪e͡ɪ̯kkɐ t̪o͡ɪ̯jɐ d̪e͡ɪ̯।"
2067,kelɐ ɟɐne lɐ͡ɪ̯k d̪e͡ɪ̯।
2068,"ɪje keɾ mut̪e, mut̪eɾ bɪdɪ͡o̯ chɐɽe।"
2069,muʃɐɾɪne t̪o chɐd̪ ko͡ɪ̯ɾɐ gɦɔɾ koɾt̪ɐche mɐjɐ।
2070,tehɐ ɪŋgɐm ko͡ɪ̯ɾlɐche?
2071,"ɐmɐɾe he͡ɪ̯d̪uŋgɐ ko͡ɪ̯che d̪e͡ɪ̯d̪ɦɐ͡ɪ̯t̪ɐm gɪjɐ, phɔɾed̪ɪjɐ ɐmɪ d̪e͡ɪ̯d̪ɦɐ͡ɪ̯chɪ।"
2072,"ɟeɾe d̪ehɪ chɐd̪ kɪɽɐ bɐɽɪ koɾt̪ɐche, t̪ɪn t̪ulɐ phɐ͡u̯ndɪn, ɐɾo ɔnek ʃund̪ɔɾɪ koɾt̪ɐche।"
2073,ɛt̪o tehɐ kɐmɐ͡ɪ̯ ho͡ɪ̯ɾlche <> ɟɐ͡ɪ̯t̪e ɟɐ͡ɪ̯t̪e!
2074,mɐɾ d̪ɦɐɾo ɟɐ͡ɪ̯t̪o।
2075,e͡ɪ̯mme ɐ ।
2076,"he͡ɪ̯ɟe t̪oɾ mɐ he͡ɪ̯ɟe ɐ͡ɪ̯t̪ɐche, he͡ɪ̯ɟe he͡ɪ̯ɟe।"
2077,"he͡ɪ̯ɟe ɐ͡ɪ̯t̪ɐche, he͡ɪ̯ɟe।"
2078,he͡ɪ̯ɟe d̪ekh ho͡ɪ̯ɟe t̪oɾ mɐ ɐ͡ɪ̯t̪ɐche।
2079,he͡ɪ̯no kɪ gɔphɔɾgɐ͡o̯ phɔɾche nɐkɪ?
2080,e͡ɪ̯ phuɾɐ e͡ɪ̯ ɪjɐ phuɾɐ bɦɪɾ tɐ kɪ bɐ͡ɪ̯d̪ɦɐ phɔɾche nɐ gophɔɾgɐ͡o̯?
2081,gophɔɾ।
2082,gɔphɔɾgɐ͡o̯ phɔɾche?
2083,mɐ dɐ͡ɪ̯kkɐ nɐmt̪ɐche।
2084,"tɪ, tɪ, tɪ, tɪ, tɪ।"
2085,"ɟɐ͡o̯,ɟɐ͡o̯ ɟɐ͡o̯।"
2086,"hɛ̃, ɟɐ͡o̯।"
2087,hoʃt̪ɪ mɐŋche kɔe̯?
2088,he͡ɪ̯nɪ ɟe ɪ ɐche nɐ?
2089,khɐ͡ɪ̯llɐ ɾɐ͡ɪ̯ geche nɐ?
2090,dɐk d̪ɛʃɐ kuhɐt̪ɐdɐ lɔ͡ɪ̯jɐ ɐ͡ɪ̯che।
2091,t̪umɪ kɪ <> koɾbɐ?
2092,kuhɐnɪ।
2093,e͡ɪ̯nɪ e͡ɪ̯che bɐ͡ɪ̯n।
2094,<> gohbo phɐnɪ utche?
2095,e͡ɪ̯ chɔjd̪tɐ phuʃ bɔɽo gɐ͡o̯।
2096,<> kɪ ɔbost̪ɐ bɐlo͡ɪ̯ ɐchɔlo nɐkɪ?
2097,"kɐloke ɐmɐɾe, t̪umɐɾ e͡ɪ̯ ɟe ɐpɟelɐɾ mo͡ɪ̯d̪d̪e ɐche nɐ?"
2098,"e͡ɪ̯ ɟe cheʃto, cheʃto bond̪ɦo ʃɔbɐʃɪt̪o, cheʃto bond̪ɦo ʃɔbɐʃɪt̪o, cheʃto e͡ɪ̯ ʃɐpɔɾk kɪ ɛktɐ poɾbɐʃɪ koɾe ʃɔbɔbɔt̪o।"
2099,ɐɟelɐɾ mo͡ɪ̯d̪d̪e।
2100,ɔhon e͡ɪ̯d̪ɐɾ mo͡ɪ̯d̪d̪d̪e t̪umɐɾ।
2101,kɪɾe kɪ ɔbost̪ɐ?
2102,"pɐpɐɾ, <> pɐpɐɾ ɔ͡ɪ̯t̪ɐche।"
2103,bɐɟɐɾo <> ɐmɐd̪eɾ upɐɟelɐɾ mo͡ɪ̯d̪d̪e poɾɪpɐɾ e͡ɪ̯dɐ।
2104,"cheʃto <> cheʃto e͡ɪ̯dɐ ʃɐphɐ͡ɪ̯k, kɪ ɛktɐ।"
2105,"ʃɐpht̪ɐk nɐ nɐ, bɐʃʃoɾɪk monoe̯।"
2106,nɐ nɐ nɐ nɐ nɐ nɐ nɐ nɐ nɐ ʃɐp।
2107,mɐʃɪk?
2108,bɐnd̪ɪkɾɪ ɛktɐ <> bɐnd̪ɪkɾɪ bɐnd̪ɪkɾɪ bɐnd̪ɪkɾɪɾ।
2109,hɔe̯ gɔt̪bɐɾ ɐɟɪm e͡ɪ̯chɪn ʃɔɾeʃ।
2110,"e͡ɪ̯bɐɾe nupuɾ ɐpu, nupuɾ ɐpuɾe d̪ɪche e͡ɪ̯bɐɾe, sɛɾe।"
2111,"nupɐɾ ɐpɐɾ ʃɐɾtɪphɪkt ʃɔbgulɐ ɛkʃɐt̪he ko͡ɪ̯ɾɐ ɛktɪ bɔɽo ʃɐ͡ɪ̯ɟ ho͡ɪ̯che, eɾ lɐ͡ɪ̯gɐ d̪ɪche।"
2112,"ɔhon nupɐɾ ɐpu e͡ɪ̯bɐɾe, ʃɐt̪he monoe̯ ɾɐn bɦɐ͡ɪ̯ mone, nɐkɪ?"
2113,"ho, ɛk ke ɾɐn।"
2114,ɔhon e͡ɪ̯bɐ mɪɾɪl ɟɐ͡ɪ̯t̪ɐche buɟɦcho?
2115,"ehon e͡ɪ̯dɐɾ ɔbost̪hɐk kɐloke, ehon ɐmɾɐ ɟɐɾɐ ɟɐɾɐ ɛted koɾt̪ɐchɪ goɟɔɾeɾ moɟɔɾe, eɾ moɟɔɾe ʃɔbɐ͡ɪ̯ ɐmɾɐ ɟɐɾɐ ɟɐɾɐ ɟɐɾɐ ɟɐɾɐ ɟɐɾɐ ɟɐɾɐ ɟɐɾɐ ɟɐɾɐ ɟɐ"
2116,chele pɐcɟɔn mɐne pɐcɟɔn ।
2117,"ɐmɐd̪eɾ kɐlke, gɔɟɔt̪o t̪omɐɾ ɪjɐ t̪omɐɾ hɪnd̪u ʃɔmɔɾeɾ goɟɔɾ।"
2118,"nɐ, t̪omd̪eɾ ʃɔmɔe̯ , skuʃtɪ bɪʃe ʃɔb gɔɟɔɾ, skuʃtɪ bɪʃe gɔɟɔɾ।"
2119,"hɛ̃, phɔɾe?"
2120,"buɟɦcho , e͡ɪ̯dɐɾ mod̪d̪d̪ɦe ɐmɪ ɐchɪ, ɐɾmɐn ɐche, phɐhɪm, e͡ɪ̯ mɐɾ phɐhɪm ɐche, phɐhɪm ɐche, phɐhɪm ɐche, phɐhɪm ɐche, phɐhɪm ɐche, phɐhɪm ɐche, phɐhɪm ɐche, phɐhɪm ɐche,"
2121,"e͡ɪ̯ ɛm phɐhɪm bɔɽt̪e he͡ɪ̯ɟe e͡o̯ bɐɽɪ ɟe, he͡ɪ̯ɟe, ɟɔʃɔʃɔb।"
2122,kɐ͡ɪ̯lɐcɐɽɐ ɟe bɐɽɪ।
2123,eʃ ɛm phɐhɪm t̪ɪnɟɔn।
2124,he͡ɪ̯d̪ɪk d̪ɪjɐ ɐche ʃuhɐ pɐkund̪ɪjɐ।
2125,"ʃunhɐ, phɐhɪnd̪ɪjɐɾ ʃunhɐ।"
2126,phɐhund̪ɪjɐ nɐt̪o e͡o̯ eɾ।
2127,pɐmmɪjɐɾ ʃund̪hɐ।
2128,phɐhund̪ɪjɐ nɐ eɾ bɐɽɪ।
2129,ɐmɪ t̪omɐɾe d̪ehɐ͡ɪ̯ chobɪdɐ।
2130,"ʃuhɐneɾ chobɪdɐ ɐmɐɾt̪e ehon nɐ͡ɪ̯, ɐmɐd̪eɾ colɾe।"
2131,"phɐhund̪ɪjɐ nɐ t̪o, eɾ bɐɽɪt̪o e͡o̯ e phɔɾche nɐ?"
2132,ʃuhɐneɾ bɐɽɪdɐ phɔɾche pɐkund̪ɪjɐɾt̪e ɔ͡ɪ̯d̪ɪke ɛktɪ bɦɪt̪ɔɾe।
2133,"ɐɾektɐ ʃund̪hɐn ɐche khɐtɪ e͡ɪ̯dɐ bɐ͡ɪ̯d̪d̪ɦɐ, e͡ɪ̯dɐ nɐ।"
2134,e͡ɪ̯dɐ phu͡ɪ̯ttɐ ʃund̪hɐ।
2135,ʃund̪hɐn t̪o t̪ɪndɐ t̪ɐ͡ɪ̯le ।
2136,"d̪u͡ɪ̯dɐ ʃuhɐn, upɐ lɔbuɟe।"
2137,pɾɪjɐ ʃunhɐn cɪno pɾɪjɐ ʃunhɐ?
2138,nɐ t̪umɪ cɪnt̪ɐnɐ।
2139,"ɐɾe, ɐmɪ bɦɐt̪ɐchɪ, d̪ɐ͡o̯wɐ t̪ulche, eɾɐ bɐɽɪt̪o t̪o d̪ɐ͡o̯wɐ।"
2140,"ɐɾe <> upɐ lɔbu ɐche, hɐllɐ ɛko ɐche, ɐmɪ d̪ehɐ͡ɪ̯ chɔbɪ t̪umɐɾe।"
2141,"kɐɾon ɐmɾɐ ɐɟke, e͡ɪ̯dɐ pɐhd̪ɪjɐɾnɐ।"
2142,"phɐhund̪ɪjɐɾ nɐ thɪkɐche, pɐŋgɐnd̪ɪjɐɾ bɐ͡ɪ̯ɾeɾ।"
2143,e͡ɪ̯dɐ e͡o̯ koɾen e͡ɪ̯no।
2144,"ɐmɪ d̪ehɐ͡ɪ̯ t̪umɐɾe, ɐmɐɾ e͡o̯ ɐche eɾ ʃɐt̪he।"
2145,"e͡ɪ̯ ɐmɾɐ d̪ɔʃ ɟe cheleɟe, pɐ̃̃c ɟe , d̪ɔʃ ɟe gɔɟo gɐ͡ɪ̯t̪ɐchɪ, eɾ mod̪d̪e gɔɟon gɐ͡ɪ̯t̪ɐchɪ, eɾ mod̪d̪e gɔɟon gɐ͡ɪ̯t̪ɐchɪ, eɾ mod̪d̪e gɔɟon gɐ͡ɪ̯t̪"
2146,"e͡ɪ̯ goɟɔldɐɾ mod̪d̪d̪d̪d̪d̪ɪt̪ɐche ɐɟɪm, mɐne bɔɾoʃ।"
2147,"ho ,ɐɟɪm bɪʃ।"
2148,"ɔhon ʃeket e͡ɪ̯che, ɐmɪ ko͡ɪ̯chɪ ʃɔɾ ɟɔɾkɐn ɐche ɐɾmɐɾ pɪche͡ɪ̯ t̪hɐhɪ, ɐmɐɾ ɔt̪o lɐgt̪onɐ।"
2149,"ɐmɪ t̪o ɐɾ mɛne, kɪchu ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐkɪ ko͡ɪ̯bɐ nɐk"
2150,"nɐ nɐ kɔmmɔt̪o nɐ, ɐmɪ t̪omɐɾe d̪ehɐ͡ɪ̯ bɪʃdɐ"
2151,"chɔbɪt̪o t̪umɐɾ kɐlke t̪umɪ ɟɐ͡ɪ̯t̪ɐ, ɐɾ t̪umɐɾeɾ kellɐ͡ɪ̯d̪ɐ dɐkche ɐmɪ ko͡ɪ̯ ʃuno, e͡ɪ̯ɟe d̪ehɐ͡ɪ̯ɟe he͡ɪ̯ɟe।"
2152,gɔɾud̪ɔl koleɟe mɛt koɾɪʃ ɟe ɐmɾɐ koɾchɪlo bɐ͡ɪ̯ʃe।
2153,"pɔɾe ɐmɪ bɔlchɪ e͡ɪ̯ɟe pɾoɾo <> ɟɪnɪn bɔlche, pɔɾe ʃɔɾe ɪnɪn bɔlche kɐɾon , pɔɾe ʃɔɾe ɪnɪn bɔlche kɐɾon d̪ɪche kɐɾon"
2154,ɐllɐh।
2155,ɛk d̪eɾ bɔchoɾ e͡ɪ̯che gehe।
2156,ɛk bochoɾ ɔ͡ɪ̯͡o̯ <> ɐmɐɾ ɔ͡ɪ̯le kɔt̪ɔmd̪ɪn lɐge।
2157,e bedɐɾ ɾɪn tɪn ɐche nɐ e͡ɪ̯t̪ɐ kɪ ɔt̪ot̪ɐ d̪ɪche?
2158,eɾphɔɾe bɐ͡ɪ̯ ɐche ɛktɐ।
2159,d̪ɐɾ tɐj mɐphe।
2160,ɾɐm mɐphe nɐ
2161,d̪u͡ɪ̯d̪ɪn nɐ t̪ɪnd̪ɪn ɾɔ͡u̯nɐ d̪ɪche।
2162,ɐ ɐmɐɾ lɔge <> gele t̪o ɛktɐ kɔt̪ɐ kɔe̯ nɐ।
2163,"eɾ lɐ͡ɪ̯ggɐ ɐbd̪, ɐmɪ͡o̯ u͡ɪ̯ɟɐ kɔt̪ɐ ko͡ɪ̯ nɐ।"
2164,ɐɾ bɪd̪ʃ ɟɐ͡ɪ̯be nɐkɪ?
2165,bɪd̪d̪e ɟɐ͡ɪ̯mɐ phɔɾe।
2166,"phɔɾɪkkɐɾ phɔɾe, nɐ?"
2167,lehɐphɔɾɐ ko͡ɪ̯ɾɐ lɔ͡ɪ̯।
2168,ɔɾoʃ kɔmpɪt ko͡ɪ̯ɾɐ।
2169,"ɟed̪ɪn, <> ɟɐ͡ɪ̯, kɔmpɐt ko͡ɪ̯ɾɐ bɐd̪e।"
2170,t̪ɔɾ bɦɐ͡ɪ̯n kɪ?
2171,tɪntɪt̪o bo͡ɪ̯t̪t̪ɐ ɔ͡ɪ̯jɐm।
2172,tɪtɪʃ mɐne?
2173,"tɪ tɪ ʃɪ, e͡ɪ̯dɐ kɪt̪ɐ?"
2174,"e͡ɪ̯, chɔɾmeɾ ʃɪ, e͡o̯ ʃɔɾpɐɾɪʃ lɐge <> hun।"
2175,ɐɾe hun phɔɾe।
2176,e।
